index,post,label
123,when most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo,1
124,these people have no idea about who they are or where they came from and any knowledge that they do have has guilt attached to it,0
125,if whites did have some knowledge and a little more recognition was put out there i think most of them would feel a little more pride of who they are and stick to the white race,0
126,there should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non whites they are our enemies,1
127,if a person is white and he is a christian or a pagan then i consider him as my brother or sister no matter whatever profession he is into,0
128,can you give any examples of progress made by skinheads or the klan,0
129,seems to me they are in precipitous decline,0
130,ive been around here for four years and seen almost no class divide,0
131,i dont really like even talking about it because i fear we will create a division where there is none,0
132,black women on london transport,1
133,racist woman rant in london part 1 youtube original racist black girls fighting south london railway balham to mitcham 18 11 2011 youtube,0
134,quote trotis 10497843 isn t south african chocolate made by overseas companies based in sa british and swiss would a mars bar taste different made in sa compared to one in england quote i would have thought so too but the stuff tastes different,0
135,i think it has something to do with the type of sugar or where the sugar was originally grown,0
136,btw i do n t recall seeing a mars bar in s a,0
137,i never drink diet anything either because of the aspartame and water is for the fish,0
138,i try to avoid the gmo stuff too but since they do n t label the stuff it s hard to do,0
139,and then you need to avoid high fructose corn syrup bad for you and made from gm corn,0
140,you also need to avoid anything soya,0
141,and then there is the pesticides on your fresh fruit and veggies,0
142,and the non edible chemicals in the processed and sometimes not so processed food,0
143,in the end the only safe thing to eat is grass if you are lucky enough to have your own garden or grow your own food if you have the space and hope to hell the government here does n t do chemical spraying,0
144,hell the way we are deliberately poisoning ourselves i m surprised we have lasted this long,0
145,if not kept in check we may very will be living in an actual planet of the apes soon,1
146,youtube x202a kenya hacked to death by panga in front of film crew x202c rlm,0
147,racist attack by blacks on a young white girl in france,0
148,negro holding the camera laughs with glee dailymotion agression raciste contre une jeune fille blanche france une vidéo news politics,0
149,what happens when popeye s runs out of chicken youtube popeyes freakout ghetto vers,0
150,2 0 does contain alot of profanity so you have been forewarned,0
151,negro rainforest music,0
152,if you click the video the video comments are full of self hating whites youtube baka rainforest people yodellers,0
153,non muslim michigan high school students wear hijabs in school for class lesson to explore religion and identity pamela geller atlas shrugs,0
154,i have n t been able to finish watching even one of these videos,0
155,as soon as i hear them uttering their monkey gibberish i feel like smashing my computer screen with my fist,1
156,that would be too expensive,0
157,i hope this will catch on like the 14 words,0
158,if anyone wants to post it in other forums feel free to do so,0
159,it is very hard for average whites to see their own disenfranchisement let alone realize that it is planned,0
160,this is because much of the disenfranchisement is by way of destroying white cultural identity and pride,0
161,so contributing and participating in any way to opportunities to instill pride in white ethnic heritage and even white american ethnic heritage will go a long way in helping them recognize what is being taken away,0
162,ive seen that crap too and thought wtf,0
163,i can picture him as that baby monkey on the save the rainforest comercial or whatever,1
164,the only thing holding us back are our traitors and the 40billion anti european people of the earth that flourished on our technology,0
165,thanks for saving the picture but the one i saw was a black guy looking at a laptop and a white girl sitting next to him laughing and hanging on him also looking at the laptop but they did n t show what was on the laptop,0
166,they were in a living room sitting on the couch implying that they were a couple,0
167,its really sad how so many whites just don t even care and there actually happy that this is coming to be,0
168,there s more sex and sleaze condensed on the shelves of the check out line than you ll get in 2 hours of tv and 2 hours of tv is lethal to your spirit,0
169,and her husband is tom brady this good looking white nordic guy here s a photo of them with their white children,0
170,i actually celebrate black history month,0
171,i have a dream one of these days black occupation of america will be history,1
172,pathological killers they are,1
173,jews have been poisoning wells since biblical times,1
174,no wonder we are in such bad shape with this tribe in charge of the white house and congress,1
175,the jew represents the snake,1
176,all you need is to cut off it s head and the rest of the problems will crumble away with ease,1
177,i hate to see such beautiful white females become victims of these sick violent merciless animals,1
178,separation is the only answer,1
179,white americans and white europeons have too few children,0
180,other than the amish no other group of whites have large families,0
181,honestly the better idea is private schools for our people the average parent is a poor teacher,0
182,the muslims have ultra strict racialist private schools the world over why do n t whites,0
183,while they are in prison the kikes should get the same food the regular prison population gets,1
184,who the hell cares if its not kosher,1
185,this is n t the local 4 diamond hilton situated on some sunny beach,0
186,we dont care about alaska while it is not white land,0
187,we are more concerned about zog controlling us and russia,1
188,why do n t white europeans and americans grow a set of balls and deport these black and brown animals from their countries,1
189,another eurorus update more video and photos gvideo http video google com videoplay docid 5268894597794277031 gvideo a fascinating conversation between dr alfred vierling dr duke,0
190,kris roman jan kristel dr alfred vierling dr david duke thiery van roy frederik ranson andreas thierry stephanos gekas,0
191,robert steuckers and dr david duke gunther van den eynde en dr david duke euro rus 2008,0
192,euro rus евро русь for a great europe from gibraltar to vladivostok,0
193,http www eurorus org,0
194,what would you have done instead,0
195,ignore the genocide on serbs turn your back on your own people,0
196,then you are a traitor,0
197,woodlands 1890 rain in an oak forest 1891,0
198,finns mixed with swedes and got blond hair and blue eyes but ethnical finn look like tatar dark hair dark eyes short height round face,0
199,the reasons alcoholism takes around 150000 lives every year,0
200,aids around 20000 every year,0
201,emmigration around 50000 100000 per year,0
202,heart diseases around 100000 per year,0
203,high mortality rate like country is at war,0
204,lowest birthrate in world,0
205,http www guardian co uk russia art 772175 00 html attaboy putin,0
206,if i were in the audience i d clap till my hands were numb,0
207,that s telling worthless s o b s like cheney what they can do with their cheap words and crocodile tears,0
208,i have long loved tchaikovsky ballets and mussorgsky operas and now i enjoy russian traditional music as well,0
209,i was recently in zaporojie ukraine which has a famous cossack enclave where i had the opportunity to dine at a cossack restaurant and listen to traditional cossack music played live,0
210,listening to this music brings back memories of all my visits to russia and ukraine,0
211,i keep telling people about things like this and they never believe me,0
212,i want to show them this thread,0
213,this is great,0
214,it was until kveldulf saw fit to open it up again with his unnecessary comments,0
215,i have to go to work now,0
216,hispanic a woman threw her 2 1 2 year old granddaughter several stories to her death from a walkway at a shopping mall http www news4jax com video 25962136 index html negro police arrested a 17 year old who they said burglarized a home over the thanksgiving weekend,0
217,jacksonville police said brian williams broke into the home on braddock road while the family was out of town and baked brownies drank orange juice surfed porn websites and loaded up the victim s car with bottles of liquor,0
218,http www news4jax com news 25976955 detail html,0
219,sex male race black d o b 08 24 1950 height 5 11 weight 180 eye brown hair black in custody for 001 misdemeanor count of criminal trespass 2nd deg this dude looks like an olde version of cornielious from planet of the apes,1
220,you can have your site on odins rage but host your picture and zip files somewhere else like geocities com cause odins rage doesnt give much room,0
221,don t want to ruin the spirit of the mood but are n t russians for the most part orthodox christian and they have a different day for christmas,0
222,i think it is january 6 th or 7 th not the same as us,0
223,because the communist party was almost all jew out to kill any gentile that stood in their way or had property that the jew communist wanted,1
224,http www newnation vg forums showthread php p 325910 coach accused of fondling student student s mother alerts deputies after finding note posted monday march 8 2010 updated 9 42 am est march 9 2010 pedophile alert robert bennett http www clickorlando com educatio 82 detail html,0
225,just got turned on to a website from a friend of mine,0
226,shows some interesting statistics about the jew rats,1
227,http ifamericaknew org,0
228,it s sort of like the black computer genius that only appears with any ubiquity on television or in the cinema,0
229,i know they re probably out there but i ve never met a black it professional who was n t exclusively in sales,0
230,have you ever heard about death mask of franco,0
231,one day i have seen it on ebay but i m not sure about authenticity of the mask,0
232,is this group in sweden genuine or are they thieves who steal money but never send the goods you order,0
233,can any swedish comrades tell me about them,0
234,she is white but looks somewhat below average for a white swedish girl i think,0
235,why do the swedes hide their best looking females,0
236,i must just say before this thread possibly dies that i have great fear that without action the cause will die along with the rise of multiculturatism,0
237,my norwegian uncle has been visiting and he has shared with us some things about christmas celebrated in norway,0
238,i also have been talking to a person from denmark and i learned about gingerbread dancing around the tree and the various customs of jul dinner place presents under the tree desert dance around tree open presents,0
239,i found it to be pretty interesting and i hope you all had a gædelig jul,0
240,ca n t wait until tomorrow,0
241,i had actualy written th epost for last summer but had to cancel my trip so it is 2005 ok every body cool l shann 2508,0
242,lol ok i give up i just had never heard that specific word before and it was n t in my dictionary,0
243,and since i m not really sture allén or horace engdahl i ca n t say if it s in svenska akademins ordlista,0
244,i think some of you are a bit wrong on this one since our race is our nation when will you learn,0
245,it makes me so damn angry that the swedes ca n t see it,0
246,the blacks and browns are detroying sweden and nobody does anything about it madex madex madex,1
247,the only thing manipulated here are the minds of few foreigners who reckon they can live amongest superiour pagan blood,1
248,what say you of jotunheim,0
249,do you have any figures on this,0
250,i m pretty sure that tens of billions are sent abroad every year even though 50 stays in sweden,0
251,hmm let s try again viewing by number of asylum seekers per 1 000 population,0
252,these are much more important in my estimation,0
253,for instance the u s lets in about 900 000 people legally every year while canada lets in about 225 000,0
254,however in per capita rates u s legal immigration is at about 3 per 1 000 annually while for canada it s about 7,0
255,thus shockingly canada may actually achieve a non white majority before the u s does,0
256,denmark 2 3 2001 1 1 2002 0 9 2003 0 6 2004 assuming population of 5 4 million good job denmark,1
257,let s see it get down to zero,0
258,norway 3 3 2001 3 9 2002 3 5 2003 1 8 2004 assuming population of 4 5 million sweden 2 6 2001 3 7 2002 3 5 2003 2 6 2004 assuming population of 8 9 million iceland is at about 0 2,0
259,finland however used to be very low but it s now higher than denmark and nearly as high as norway,0
260,by per capita take ins norway was the worst in 2001 but apparently the norwegians cracked down in 2004 and they re now lower than sweden s rate,0
261,that is good news when i was in norge,0
262,the only blacks i saw were somalies and they re a cross mix of black and arabs,0
263,no it s not possible,0
264,read the earlier posts and see that there are still lots of non whites coming to denmark,0
265,i do n t dare to look at them,0
266,you should see what my grandma s hair looked like 50 years ago,0
267,eldritch and myself went early to the harbour but all the boats were cancelled on account of rough weather,0
268,one day brother one day,0
269,i ve seen on the web he is making a new horror film called it waits but cant find that much about it,0
270,i thought they agreed they wouldn t do the salem march this year because his parents didn t want the media attention,0
271,why are you afraid that your son might come and find you drunk in a bar 20 years later and try to kill you or something,0
272,damn finland is closing in on sweden in this poll,0
273,but you are most welcome anyway ugric _ warspirit,0
274,i get what your saying and there are thousands of non irish here who will never contribute anything to this land,1
275,the folk im talking about have been shoulder to shoulder with me for a long time and i will continue to show loyalty and respect to them as they have more than earned it 828,0
276,unless you are a tourist or here the study for a year or two please just go back russian we dont need or want more slavs,1
277,what a load of crap water are ye people for real ireland is been taken over by non irish and this rubbish,1
278,i hate the word racist it makes people being called racist think that they are doing something wrong when they the immigrants coming here are doing something wrong,1
279,reminds me of an old joke,0
280,whats the difference between st patrcks day and martin luther king day on st patricks day every body wishes they are irish,0
281,im sorry that many people in my country are stupid,0
282,they feel the need to close down a prison full of terroris people who aided in the killing of our soldiers and scatter them all around the world,0
283,and the poles decide to up and leave therefore devastating the irish economy as every man and his dog are telling us what are the potential ramifications for our welfare scrounging visitors from far ashore,0
284,no i was asking for a link for were it says their banning the celtic cross but thanks for the link i ll check it out,0
285,if they have some marches and what not about showing pride in their culture you guys should go out and do the same if you could try and contact people you know in different cities and see if their willing to do the same,0
286,good luck noremorsenoregrets hopefully its good news about your job and lets hope you dont become another figure in a stat,0
287,i posted a thread in stormfront ireland the week before about english hooligans slashing an irish mans throat the thread dissappeared without explanation,0
288,a crude drawing of a swastika on a wall with spraypaint will only make neutral people associate nazi s with common lowlife scum,0
289,can a mod also change the thread title so it says the 10th dont want people showing up 10 days late,0
290,watching those videos makes me feel like im going to explode with hatred for those creatures,1
291,a feel a mix of intense hate and depression that we have let things degenerate so far,0
292,from what i know they re almost exclusively nigerian asylum seekers,0
293,they have a few of their own shops a food shop by the bus train station and a clothes shop where they sell fubu and other assorted gangsta rap crap,0
294,this filth is a sectarian british song not an irish folk song the sort of scum who wrote and admire this filth have no place on a wn forum yet alone an irish forum,1
295,thanks for that limerickpit i have put that on my planner no doubt it will be a total destoration of the facts,0
296,during the early punk scene he was always seen decked out in a union flag blazer then all a sudden an instant nationality transplant,0
297,well done at least someone is getting off their arse and taking action rather then sitting behind a computer being a cyber warrior i hope others will follow suit,0
298,so if a fellow white man rapes my daughter or kills my brother i should let it go because he is white,0
299,its a disgrace my sister has been on the waiting list for 6 years and their giving away houses to these scumbags,1
300,most of the info on this site is out of date but it has some interesting information on the groups orgs that have come and gone over the years,0
301,http www tau ac il anti semitism a 4 ireland htm,0
302,the younger limerick crowd say the gangs from moyross are in regular fights with the poles they go around in tens and when they meet all hell breaks lose its very like in east germany with the poles and working class irish,0
303,i was away for the weekend that is why i did get around to posting my blood group i do n t see why i should bother anyway btw i am in blood group o,0
304,the church of ireland archbishop of dublin has called for an amnesty for immigrants who have been in ireland for five years or more without their status being resolved,0
305,http www thepost ie post pages p s 726 qqqx 1 asp,0
306,thanks it may not seem like much but just puting one of those leaflets up on a noticeboard gets a lot of people talking,0
307,no it is not a joke we have a very high standard education system here in ireland,0
308,it is as good as anywhere in the world,0
309,thankfully the c w camp out will go ahead this year,0
310,unfortunately we missed out last year but this year s occasion will definitely make up for it,0
311,beautiful scenery music campfire and good true company,0
312,looking forward to it,0
313,i read recently in cold black and white print that there was around 10 000 nigerians in ireland now you say close to 300 000,0
314,is this true,0
315,these people who want foreign aid increased are the same people who walk past irish people living rough on the streets and they do n t care about the old people who the government ignores,0
316,i had a few of the cds and gave them all away let me see if i can get you a copy,0
317,don t think you supremacists would ever be able to build up the force of resistance that irish republicans did mate,0
318,look on in jealousy 2508,0
319,lie lie lie,0
320,irish men are sooooooo beautiful,0
321,i love their darker hair their skin their eyes,0
322,they are stunning kiss 2056,0
323,the article says they went into mainstream schooling so i think that must have played a role in it the drugs were proscribed to them for health problems,0
324,there is an active community here you just need to get off the net to find it,0
325,use pm to get in touch,0
326,how could you begin to tell people that all this multi cultural stuff is wrong without being hated on by our fellow people,0
327,yeah it was the same way when i was going to school in calgary the problem is they have like 8 kids where we only have about 1 2 children usually,0
328,are only chapter right now is in the fraser valley near vancouver but were looking to open chapters all over canada,0
329,some natives were driving around in a truck a few years ago,0
330,nothing unusual about that except it said on the back window,0
331,work harder white boy my brother needs a new truck,0
332,put the kids in a ophanage and arrest the whore of a mother to a point of not having more biracial kids 8 kids have to suffer all their lives to due a whore,1
333,there are other games similar to the first you described eg 1 fifa and 2 the british fa,0
334,btw im led to believe that football soccer was invented in somalia in about 1066 ad,0
335,pigs bladders were not used there and the footballs were made from camels doings,0
336,like i said earlier the english have been subjected to a far worse campaign of indoctrination than the rest of us,0
337,i have to admit i do n t think i ve ever met a briton and i am english so you must know something that i do n t know good for you,0
338,i base this post on the fact that i live a few hundred yards from the house i was born in and have never felt the desire to suck the milk from anything other than an english nipple,0
339,my mind s eye small faces youtube,0
340,i would not even use anything that man says winston churchill is the reason we are in this mess in the first place the bastard should have been shot,0
341,i think they have,0
342,i have this vision of a left christian screeching the meek shall inherit the earth as a member of the peaceful religion goes a chopping humour,0
343,what do i know,0
344,why would you want to see this pollution spread further into our gene pool,1
345,thank the gods she has chosen to go with her own kind,1
346,i have just followed the link for the bdp tried to check the policies only to be shown a lot of latin that translates as total gobbledegook,0
347,a happy st david s day to all of our welsh compatriots,0
348,from your one time enemies and now eternal allies the english,0
349,today i had an assembly on diversity and how we should embrace other cultures and learn about them,0
350,not one mention about burns night our own culture,0
351,re what is happening in our schools,0
352,simple truth is that sadly they are preparing them for the only future that marxism offers,0
353,don t be ridiculous,0
354,so you advocate independence just to join another sovereign nation as wales would be in this hypothetical scenario,0
355,the op has gone to sunnier climes for a couple of weeks so i ll close this now and explain to him on his return,0
356,don t care much for football these days and sincerely hope that the team called england get a hiding but i will be wearing my new serbia shirt during the tournament come on serbia do us proud,0
357,is anyone else fed up with people using the so called race card against you if so tell us about it,0
358,no i will not be buying guns and bullets,0
359,and it s not my fault the bnp is run by a gangster,0
360,yeah iam from edinburgh and i when i was at secondary school my classes where full of blacks and pakis and half them could hardly speak english,0
361,i do this and the looks i get out of disgust are regular but i happily carry on walking and laugh them off they think showing me a few pictures of negro kids on a poster without a burger is going to make me want to give money to them,0
362,ye i heard that one to or we all came from africa any way so why dose it matter my answer we evolved to be better,1
363,yes it is dying down the only way we could beat our problem is by voting for bnp in the next election,0
364,hello to all my friends here on the forum,0
365,there is a sign up placed by the council stating no ball games so what are they doing yes playing football,0
366,playing with their scooters bikes and other noisy toys right outside our windows,0
367,can hardly hear our tv,0
368,it got so bad that i literally sat outside with our dog he was on a lead,0
369,they all p d off and stayed up their end with that stupid look on their faces,0
370,i sat there for 5 minutes and then took the dog for a walk,0
371,there must have been about 10 of them all black and others coming in to join them,0
372,there was not one white child amongst them,0
373,oh yes and to round it all off we have new neighbours moved in,0
374,foreign of course,0
375,i had to open the landing window earlier because the stench of their cooking was overpowering,0
376,thankyou all for allowing me to vent as i feel so angry,0
377,he wrote the truth and you dont know if he is white or not as none knows who post here is a confirmed white,0
378,on the other hand point to anything he posted as not to be the absolute truth,0
379,every time i see a black security guard they are either sat down or on the phone they have no proffesionalism whatsoever,1
380,yes more homosexual degeneracy foisted upon the silent majority,1
381,dare to speak out in a country with supposed free speech and you re labelled a bigot,0
382,hey i m not really new to browsing the forums but i ve only just got his account and have decided to become more active online and in day to day life,0
383,if you follow the cycle of water what we drink has already been down the toilet a few times so it s nothing new,0
384,agree with barrrytheanglosaxon with many points oh,0
385,english team are 100 white,0
386,and one of thing i like in football among football fans many white patriots right wing ultras rus youtube,0
387,i cant understand why people in britain loves so much to breed with non whites it keeps me shocking when i go there,0
388,i have never seen such thing in any other country,0
389,something mysterious must be happening there,0
390,didnt you just say we re all going to die off anyway but its ok because more white people are going to replace us,0
391,coming right up,0
392,there s sugar in the bowl and lemon on the side,0
393,it s a pleasure to make your acquaintance madam,0
394,is it a competition on tv to get the most alien looking black and to put them with a white woman,0
395,in light of who brings it up i would imagine that like all their other claims and accusations this is wildly exaggerated,0
396,do you mean,0
397,it is better to be hated for what you are than to be loved for what you are not,0
398,andre gide french critic essayist novelist 1869 1951,0
399,yeah we could do with the same amount of black rapists as the nordic countries are privileged enough to have,1
400,yes true it reminds me of this incident muslim extremists abuse royal anglian troops after afghanistan return barking london 2010 youtube,0
401,surely gotta be more than that town to town you see minority whites if whites are supposed to be at least 70million its a very hard way of showing it,0
402,personal card for teacher johann warzecha in the upper silesian village of kaminietz near tost gleiwitz toszek gliwice,0
403,the name of the village was changed to dramastein during the third reich today it is called kamieniec in poland,0
404,first i m not from moldavia,0
405,second i really hope one day you chauvinists try to take our transylvania from us 1330 posada ring a bell 1467 baia ring a bell 1599 selimbar ring a bell,0
406,budapest 1919 trianon 1920 ring a bell 2013 our military is still vastly superior to yours as it has always been,0
407,there is no way you are taking our ancestral homelands from us ever,0
408,oh that s just great,0
409,i enjoy when a brit comes in and tells bulgarians everything they need to know about themselves,0
410,the girl is indeed amazing,0
411,we could have so much more sports medals if our politicians and authorities were not such greedy bastards,0
412,hi everyone i m from slovenia and i utterly hate every living muslim in this world and i despise even the dead ones,1
413,we had somebody there to monitor this protest they had around 13 people there despite their claims that they usually have hundreds at their demos,0
414,my friend lives in gdansk and he told me almost everyone in his city was white with the exception of some foreign students and a chinese man who owns a dive bar,0
415,there is not enough interest on either side for a re unification to be attempted,0
416,besides that there s the transnistria issue to be solved and the hard fact that romania simply does not have the economical power to accomplish such a re unification,0
417,the gay issue is practically non existent in romania even though the local gay ngo organizes a yearly pride parade in bucharest,0
418,in fact this year this event is going to be this weekend,0
419,there were never more than a few hundred people attending this parade many of them non romanian gays arrived from western europe,0
420,for the vast majority of romanians gays simply do n t exist except on tv,0
421,i feel a great appreciation and admiration for the polish people and i get sad when i hear white brothers speaking ill of the poles,0
422,if bulgarians are n t slavic then it s perhaps time for the rest of them to seek a new name for themselves cos it s us that used that ethnonym first dig,0
423,all of ukraine is russia poland romania you fake ukrainians,1
424,p from someone else to csabi so according to csabi romanians listen to hungarian music,0
425,http www krepublishers com 02 jour sey k text pdf molecular genetic methods supported our observations that there is a relatively small difference between the hungarian and indian groups the central europeans differ more,0
426,source kamla raj 2006 int j hum genet 6 3 177 183 2006 human chromosomal polymorphism in a hungarian sample kata décsey1 orsolya bellovits2 and györgyi m bujdosó2 1,0
427,semmelweis university department of forensic medicine budapest hungary 1091 2,0
428,maybe stormfront should consider this documentation and letting other gypsy groups join or kicking hungarians out,0
429,let s not concern ourselves with an anti gd video that barely has any views and will most likely only be watched by anarchists,0
430,like it or not and i certainly do n t but ireland especially ni is littered with memorials to and even statues of red terrorists,1
431,top ten movies banned in ireland ten movies that the irish censors blocked from ireland s cinemas top ten movies banned in ireland irishcentral,0
432,i wonder if that s in retaliation for loyalist mobs attacking catholic homes with little interference from the psni last week,0
433,i stumbled n this by accident absolute savages and yet you will have all the liberal women saying how great multiculturalism is and we are all the same le tã lã gramme france montpellier 34,1
434,it s a start,0
435,hopefully they do n t get intimidated by the enemies of our land and of our freedom those antifa scum,1
436,okay so if i go by that logic means you re willing to give up that piece of land,0
437,a genius are n t you,0
438,i know much about that event because i was in that crowd that day in 2010,0
439,i could almost see myself in that video,0
440,thank you are you thea charles martell,0
441,i think i heard your name on the stromfront radio im honored,0
442,god bless in either case,0
443,the powers that be want all whites dumbed down with negro blood,1
